Timestamp,Boost Pressure [hPa],Ambient Air Pressure [hPa],Propeller Speed [rpm],Engine Oil Pressure [hPa],Rail Pressure [bar],Power Lever Position [%],Coolant Temperature [deg C],Intake Air Temperature [deg C],Battery Voltage [V],Fuel Pressure [hPa],Gearbox Oil Temperature [deg C],Engine Oil Temperature [deg C],Prop Actuator Duty Cycle [%],Engine Status [bin],Engine Oil Level [mm],Engine Load [%]
2024-08-01 01:52:36,1012,1022,0,0,8.7,0.0,34.7,31.0,24.6,4420,34.9,-273.1,0.0,114,0,0.0
2024-08-01 01:52:37,1012,1022,0,0,10.9,0.0,34.7,30.9,24.5,4395,34.9,-273.1,0.0,114,0,0.0
2024-08-01 01:52:38,1012,1022,0,0,10.9,0.0,34.7,31.0,24.4,4395,34.9,-273.1,0.0,114,0,0.0
2024-08-01 01:52:39,1012,1021,0,0,10.9,0.0,34.7,31.0,24.4,4395,34.9,34.2,0.0,114,48,0.0
2024-08-01 01:52:40,1012,1022,0,0,10.9,0.0,34.7,31.0,24.3,4395,34.9,34.6,0.0,114,48,0.0
2024-08-01 01:52:41,1012,1022,0,0,10.9,0.0,34.7,31.0,24.3,4407,34.9,34.6,0.0,114,48,0.0
2024-08-01 01:52:42,1012,1022,0,0,10.9,0.0,34.7,31.0,24.3,4432,34.9,34.2,0.0,114,48,0.0
2024-08-01 01:52:43,1012,1022,0,0,10.9,0.0,34.7,31.0,24.3,4395,34.9,34.2,0.0,114,48,0.0
2024-08-01 01:52:44,1012,1022,0,0,10.9,0.0,34.7,31.0,24.3,4383,34.9,34.2,0.0,114,48,0.0
2024-08-01 01:52:45,1007,1022,313,0,334.0,0.0,34.8,31.0,24.2,4322,34.9,34.2,0.0,114,48,0.0
2024-08-01 01:52:46,1002,1022,736,9,474.7,0.0,34.8,31.0,24.3,4200,34.9,34.2,0.0,116,48,4.5
2024-08-01 01:52:47,1014,1022,710,79,470.3,0.0,34.8,31.0,26.8,4395,34.9,34.2,0.0,116,48,5.8
2024-08-01 01:52:48,1015,1022,712,2716,470.3,0.0,34.8,31.0,26.8,4346,34.9,34.2,0.0,116,48,6.0
2024-08-01 01:52:49,1015,1022,715,4262,470.3,0.0,34.8,30.9,26.8,4383,35.0,34.2,0.0,116,48,5.7
2024-08-01 01:52:50,1015,1022,715,4779,470.3,0.0,34.8,30.9,26.9,4481,35.0,34.2,0.0,116,48,5.5
2024-08-01 01:52:51,1015,1022,717,4886,468.1,0.0,34.8,30.9,26.9,4407,35.0,34.2,0.0,116,46,5.1
2024-08-01 01:52:52,1015,1022,715,4857,465.9,0.0,34.8,30.9,26.9,4407,35.0,34.2,0.0,116,45,4.9
2024-08-01 01:52:53,1015,1022,709,4839,459.3,0.0,34.8,30.9,26.8,4420,35.0,34.2,0.0,116,45,5.0
2024-08-01 01:52:54,1015,1022,708,4830,463.7,0.0,34.9,30.9,26.8,4358,35.0,34.2,0.0,116,43,5.2
2024-08-01 01:52:55,1012,1022,715,4844,468.1,0.0,34.9,30.7,27.0,4322,35.0,34.2,0.0,116,41,5.0
2024-08-01 01:52:56,1012,1022,714,4839,465.9,0.0,34.9,30.7,27.0,4371,35.0,34.2,0.0,116,41,5.0
2024-08-01 01:52:57,1011,1022,710,4828,465.9,0.0,34.9,30.7,27.0,4383,35.0,34.2,0.0,116,40,5.1
2024-08-01 01:52:58,1010,1022,711,4815,463.7,0.0,34.9,30.7,27.0,4407,35.0,34.2,0.0,116,38,5.0
2024-08-01 01:52:59,1010,1022,713,4812,465.9,0.0,35.0,30.5,27.0,4346,35.1,34.2,0.0,116,38,5.0
2024-08-01 01:53:00,1010,1022,713,4803,468.1,0.0,35.0,30.5,27.0,4395,35.1,34.2,0.0,116,36,5.0
2024-08-01 01:53:01,1009,1022,710,4805,465.9,0.0,35.0,30.5,27.0,4395,35.1,34.2,0.0,116,35,5.1
2024-08-01 01:53:02,1009,1022,709,4803,463.7,0.0,35.0,30.5,26.9,4420,35.1,34.2,0.0,116,34,5.0
2024-08-01 01:53:03,1009,1022,711,4802,463.7,0.0,35.0,30.5,26.9,4420,35.1,34.2,0.0,116,34,4.9
2024-08-01 01:53:04,1009,1022,712,4790,463.7,0.0,35.1,30.5,27.0,4407,35.1,34.2,0.0,116,33,4.9
2024-08-01 01:53:05,1009,1022,711,4793,461.5,0.0,35.1,30.3,27.0,4407,35.1,34.2,0.0,116,32,4.9
2024-08-01 01:53:06,1009,1022,711,4782,461.5,0.0,35.2,30.3,27.0,4432,35.1,34.2,0.0,116,32,4.8
2024-08-01 01:53:07,1009,1022,712,4781,463.7,0.0,35.2,30.3,27.0,4383,35.2,34.6,0.0,116,31,4.8
2024-08-01 01:53:08,1009,1022,713,4779,461.5,0.0,35.3,30.3,27.0,4371,35.2,34.2,0.0,116,30,4.7
2024-08-01 01:53:09,1009,1022,712,4775,461.5,0.0,35.4,30.3,27.0,4444,35.2,34.2,0.0,116,30,4.7
2024-08-01 01:53:10,1009,1022,710,4772,459.3,0.0,35.4,30.1,27.0,4395,35.2,34.6,0.0,116,30,4.8
2024-08-01 01:53:11,1009,1022,711,4773,459.3,0.0,35.5,30.1,27.0,4395,35.2,34.2,0.0,116,30,4.7
2024-08-01 01:53:12,1009,1022,713,4771,459.3,0.0,35.6,30.1,27.0,4444,35.2,34.2,0.0,116,30,4.6
2024-08-01 01:53:13,1009,1022,713,4758,459.3,0.0,35.6,30.1,27.0,4432,35.2,34.2,0.0,116,29,4.6
2024-08-01 01:53:14,1009,1022,711,4766,459.3,0.0,35.7,30.0,27.0,4456,35.3,34.2,0.0,116,28,4.6
2024-08-01 01:53:15,1009,1022,710,4763,457.1,0.0,35.8,30.0,27.0,4468,35.3,34.2,0.0,116,28,4.6
2024-08-01 01:53:16,1009,1022,713,4791,474.7,0.0,35.8,30.0,26.9,4627,35.3,34.2,0.0,124,28,4.3
2024-08-01 01:53:17,1009,1022,710,4872,461.5,0.0,35.9,30.0,27.0,4615,35.3,34.6,0.0,124,28,4.3
2024-08-01 01:53:18,1009,1022,710,4880,446.1,0.0,36.0,30.0,27.0,4664,35.3,34.6,0.0,124,28,4.3
2024-08-01 01:53:19,1009,1022,710,4893,441.7,0.0,36.1,30.0,27.0,4627,35.3,34.2,0.0,124,28,4.3
2024-08-01 01:53:20,1009,1022,711,4890,443.9,0.0,36.1,29.8,27.1,4627,35.4,34.2,0.0,124,28,4.2
2024-08-01 01:53:21,1009,1022,710,4890,443.9,0.0,36.2,29.8,26.9,4627,35.4,34.2,0.0,124,28,4.3
2024-08-01 01:53:22,1009,1022,710,4862,450.5,0.0,36.3,29.8,27.0,4664,35.4,34.2,0.0,124,27,4.4
2024-08-01 01:53:23,1009,1022,711,4874,443.9,0.0,36.3,29.8,26.8,4590,35.4,34.2,0.0,124,27,4.3
2024-08-01 01:53:24,1009,1022,711,4855,443.9,0.0,36.4,29.8,27.0,4627,35.4,34.2,0.0,124,27,4.2
2024-08-01 01:53:25,1009,1022,711,4863,446.1,0.0,36.5,29.8,27.0,4639,35.4,34.6,0.0,124,27,4.1
2024-08-01 01:53:26,1009,1022,711,4855,443.9,0.0,36.6,29.6,27.0,4676,35.4,34.2,0.0,124,27,4.2
2024-08-01 01:53:27,1009,1022,710,4854,448.3,0.0,36.6,29.6,27.0,4676,35.5,34.2,0.0,124,27,4.2
2024-08-01 01:53:28,1009,1022,708,4836,441.7,0.0,36.7,29.6,27.0,4615,35.5,34.6,0.0,124,27,4.3
2024-08-01 01:53:29,1009,1022,706,4749,457.1,0.0,36.8,29.6,26.9,4639,35.5,34.2,0.0,124,27,4.9
2024-08-01 01:53:30,1009,1022,709,4669,457.1,0.0,36.9,29.6,27.1,4651,35.5,34.2,0.0,124,27,4.8
2024-08-01 01:53:31,1009,1022,701,4612,465.9,0.0,37.0,29.6,27.1,4566,35.5,34.2,0.0,124,27,5.5
2024-08-01 01:53:32,1010,1022,710,4710,472.5,0.0,37.1,29.6,27.1,4627,35.5,34.2,0.0,124,26,5.4
2024-08-01 01:53:33,1011,1022,708,4736,468.1,0.0,37.2,29.4,27.0,4725,35.6,34.6,0.0,124,26,5.4
2024-08-01 01:53:34,1011,1022,711,4740,472.5,0.0,37.3,29.4,27.1,4651,35.6,34.6,0.0,124,26,5.4
2024-08-01 01:53:35,1011,1022,710,4734,470.3,0.0,37.4,29.4,27.1,4651,35.6,34.6,0.0,124,27,5.4
2024-08-01 01:53:36,1011,1022,710,4732,463.7,0.0,37.4,29.4,27.0,4676,35.6,34.6,0.0,124,26,5.5
2024-08-01 01:53:37,1011,1022,708,4738,465.9,0.0,37.5,29.4,27.0,4639,35.6,34.6,0.0,124,26,5.5
2024-08-01 01:53:38,1011,1022,711,4733,470.3,0.0,37.5,29.4,27.1,4651,35.6,34.6,0.0,124,26,5.3
2024-08-01 01:53:39,1011,1022,712,4723,470.3,0.0,37.6,29.4,27.1,4639,35.6,34.7,0.0,124,26,5.3
2024-08-01 01:53:40,1011,1022,710,4709,459.3,0.0,37.7,29.4,27.1,4700,35.7,34.7,0.0,124,26,5.4
2024-08-01 01:53:41,1011,1022,710,4702,465.9,0.0,37.8,29.2,27.0,4651,35.7,34.7,0.0,124,26,5.4
2024-08-01 01:53:42,1011,1022,711,4699,465.9,0.0,37.9,29.2,27.0,4651,35.7,34.7,0.0,124,26,5.2
2024-08-01 01:53:43,1011,1022,711,4691,468.1,0.0,38.0,29.2,27.1,4774,35.8,34.7,0.0,124,26,5.2
2024-08-01 01:53:44,1011,1022,710,4676,470.3,0.0,38.1,29.2,27.1,4664,35.8,34.7,0.0,124,26,5.3
