Timestamp,Boost Pressure [hPa],Ambient Air Pressure [hPa],Propeller Speed [rpm],Engine Oil Pressure [hPa],Rail Pressure [bar],Power Lever Position [%],Coolant Temperature [deg C],Intake Air Temperature [deg C],Battery Voltage [V],Fuel Pressure [hPa],Gearbox Oil Temperature [deg C],Engine Oil Temperature [deg C],Prop Actuator Duty Cycle [%],Engine Status [bin],Engine Oil Level [mm],Engine Load [%]
2024-08-19 18:56:48,1009,1016,0,0,8.7,0.0,33.6,30.1,28.9,0,34.3,-273.1,0.0,146,0,0.0
2024-08-19 18:56:49,1009,1016,0,0,8.7,0.0,33.6,30.1,28.9,0,34.3,-273.1,0.0,146,0,0.0
2024-08-19 18:56:50,1009,1016,0,0,8.7,0.0,33.6,30.1,28.9,0,34.3,32.8,0.0,146,47,0.0
2024-08-19 18:56:51,1009,1016,0,0,8.7,0.0,33.6,30.0,28.9,0,34.3,32.4,0.0,146,47,0.0
2024-08-19 18:56:52,1009,1016,0,0,8.7,0.0,33.6,30.0,28.9,0,34.3,32.4,0.0,146,47,0.0
2024-08-19 18:56:53,1009,1016,0,0,8.7,0.0,33.6,30.0,28.9,0,34.3,32.4,0.0,146,47,0.0
2024-08-19 18:56:54,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:56:55,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:56:56,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:56:57,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:56:58,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:56:59,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:57:00,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:57:01,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:57:02,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
2024-08-19 18:57:03,-1,-1,-1,-1,-0.1,-0.0,-273.2,-273.2,-0.0,-1,-273.2,-273.2,-0.0,65535,-0,-0.0
