Timestamp,Boost Pressure [hPa],Ambient Air Pressure [hPa],Propeller Speed [rpm],Engine Oil Pressure [hPa],Rail Pressure [bar],Power Lever Position [%],Coolant Temperature [deg C],Intake Air Temperature [deg C],Battery Voltage [V],Fuel Pressure [hPa],Gearbox Oil Temperature [deg C],Engine Oil Temperature [deg C],Prop Actuator Duty Cycle [%],Engine Status [bin],Engine Oil Level [mm],Engine Load [%]
2024-08-18 17:48:31,1009,1018,0,0,10.9,0.0,32.3,28.4,24.7,4383,32.2,-273.1,0.0,18,0,0.0
2024-08-18 17:48:32,1009,1018,0,0,10.9,0.0,32.3,28.4,24.5,4322,32.2,-273.1,0.0,18,0,0.0
2024-08-18 17:48:33,1009,1018,0,0,10.9,0.0,32.3,28.4,24.7,4334,32.2,-273.1,0.0,18,0,0.0
2024-08-18 17:48:34,1009,1018,0,0,10.9,0.0,32.3,28.4,24.7,4371,32.2,30.5,0.0,18,45,0.0
2024-08-18 17:48:35,1009,1018,0,0,10.9,0.0,32.3,28.4,24.6,4334,32.2,30.5,0.0,18,45,0.0
2024-08-18 17:48:36,1009,1018,0,0,10.9,0.0,32.3,28.4,24.6,4371,32.3,30.5,0.0,18,45,0.0
2024-08-18 17:48:37,1009,1018,0,0,10.9,0.0,32.3,28.4,24.6,4346,32.2,30.5,0.0,18,45,0.0
2024-08-18 17:48:38,1009,1018,0,0,10.9,0.0,32.3,28.4,24.6,4346,32.3,30.5,0.0,18,45,0.0
2024-08-18 17:48:39,1000,1018,418,0,384.6,0.0,32.3,28.4,23.6,4285,32.2,30.5,0.0,18,45,0.0
2024-08-18 17:48:40,1001,1018,718,15,452.7,0.0,32.4,28.4,27.9,4493,32.3,30.5,0.0,20,45,5.1
2024-08-18 17:48:41,1011,1018,710,191,463.7,0.0,32.4,28.4,27.9,4444,32.2,30.5,0.0,20,45,5.9
2024-08-18 17:48:42,1011,1018,712,3178,465.9,0.0,32.4,28.4,27.9,4481,32.2,30.5,0.0,20,45,5.9
2024-08-18 17:48:43,1011,1018,714,4528,465.9,0.0,32.3,28.4,28.0,4383,32.2,30.5,0.0,20,44,5.8
