Timestamp,Boost Pressure [hPa],Ambient Air Pressure [hPa],Propeller Speed [rpm],Engine Oil Pressure [hPa],Rail Pressure [bar],Power Lever Position [%],Coolant Temperature [deg C],Intake Air Temperature [deg C],Battery Voltage [V],Fuel Pressure [hPa],Gearbox Oil Temperature [deg C],Engine Oil Temperature [deg C],Prop Actuator Duty Cycle [%],Engine Status [bin],Engine Oil Level [mm],Engine Load [%]
2024-08-17 14:13:01,1009,1021,0,0,10.9,0.0,27.4,25.3,24.2,4420,27.9,-273.1,0.0,242,0,0.0
2024-08-17 14:13:02,1009,1021,0,0,10.9,0.0,27.4,25.3,24.1,4432,27.9,27.3,0.0,242,49,0.0
2024-08-17 14:13:03,1009,1021,0,0,10.9,0.0,27.4,25.3,24.0,4420,27.9,27.3,0.0,242,49,0.0
2024-08-17 14:13:04,1009,1021,0,0,10.9,0.0,27.4,25.3,24.1,4420,27.9,26.9,0.0,242,48,0.0
2024-08-17 14:13:05,1009,1021,0,0,10.9,0.0,27.4,25.3,24.0,4456,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:06,1009,1021,0,0,10.9,0.0,27.4,25.3,24.0,4444,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:07,1009,1021,0,0,10.9,0.0,27.4,25.3,24.0,4444,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:08,1009,1021,0,0,10.9,0.0,27.4,25.3,24.0,4432,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:09,1009,1021,0,0,10.9,0.0,27.5,25.3,24.0,4432,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:10,1009,1021,0,0,10.9,0.0,27.4,25.3,24.0,4432,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:11,1009,1021,0,0,10.9,0.0,27.4,25.3,24.0,4432,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:12,1009,1021,0,0,10.9,0.0,27.4,25.3,24.0,4444,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:13,1011,1021,0,0,10.9,0.0,27.4,25.3,24.0,4444,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:14,1011,1021,0,0,10.9,0.0,27.4,25.3,24.0,4456,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:15,1004,1021,321,0,404.3,0.0,27.4,25.3,23.9,4346,27.9,27.3,0.0,242,48,0.0
2024-08-17 14:13:16,999,1021,715,9,461.5,0.0,27.5,25.3,26.7,4468,27.9,27.3,0.0,244,48,0.0
2024-08-17 14:13:17,1005,1021,713,93,454.9,0.0,27.5,25.3,26.9,4444,27.9,27.3,0.0,244,48,0.0
2024-08-17 14:13:18,1006,1021,708,2809,450.5,0.0,27.5,25.3,26.9,4566,27.9,27.3,0.0,244,48,0.0
2024-08-17 14:13:19,1006,1021,710,4300,450.5,0.0,27.5,25.3,26.9,4407,27.9,27.3,0.0,244,48,0.0
2024-08-17 14:13:20,1006,1021,707,4807,448.3,0.0,27.4,25.3,26.8,4517,27.9,27.3,0.0,244,47,0.0
2024-08-17 14:13:21,1006,1022,705,5013,454.9,0.0,27.4,25.3,26.8,4481,27.9,27.3,0.0,244,46,0.0
2024-08-17 14:13:22,1006,1021,717,5071,450.5,0.0,27.4,25.4,27.0,4493,28.0,27.3,0.0,244,46,0.0
2024-08-17 14:13:23,1006,1021,714,5209,437.3,0.0,27.5,25.4,26.9,4505,28.0,27.3,0.0,244,45,0.0
2024-08-17 14:13:24,1006,1021,711,5292,435.1,0.0,27.5,25.4,27.0,4493,28.0,27.3,0.0,244,44,0.0
2024-08-17 14:13:25,1006,1021,712,5309,437.3,0.0,27.5,25.4,27.0,4505,28.0,27.3,0.0,244,44,0.0
2024-08-17 14:13:26,1006,1021,710,5320,437.3,0.0,27.5,25.4,27.0,4493,28.0,27.3,0.0,244,42,0.0
